          AccessionNumber              SpecimenType              FilingNumber     SpecimenSecurityLevel 
                    22256                         4                       162                         5 
SpecimenSecurityLevelText             Deaccessioned                 IsMissing                LoanStatus 
                        5                         1                         2                         3 
                CreatedBy               CreatedDate                 UpdatedBy               UpdatedDate 
                       16                      9274                        23                     19654 
                 Quantity                TypeStatus              VerbatimName                 TaxonName 
                        2                        17                      4952                      4210 
              CurrentName              SourceNameId        VerbatimDeterminer        StandardDeterminer 
                     3823                      4223                       696                       439 
     DeterminersRefNumber                    Phylum                     Class                     Order 
                     1268                        18                        38                       118 
                   Family              PartAffected                 Substrate      BiostatusDescription 
                      364                      2583                      1094                         7 
    OccurrenceDescription      VerbatimTaxonName_C2              TaxonName_C2             Vernacular_C2 
                        8                      3018                      2150                      2463 
                   HostId                 Family_C2           PartAffected_C2              Substrate_C2 
                     2096                       256                      2583                       121 
        StandardCollector         CollectionDateISO       CollectorsRefNumber           VerbatimCountry 
                     1914                      2676                      3251                       232 
                  Country                NZAreaCode          StandardLocality          VerbatimLocality 
                      144                        37                      3217                      4204 
                 MapSheet                 MapSheet1                   Easting                  Northing 
                        4                         6                       477                       490 
               DecimalLat               DecimalLong                  Altitude          AltitudeInMeters 
                     2873                      2894                        26                        26 
             MicroHabitat                   Habitat      CollectionEventNotes          IsolationDateISO 
                        1                        56                       220                      2742 
         DepositedDateISO             DepositorName        DepositorRefNumber                   GenBank 
                     1849                       826                     17018                         2 
               Literature                    Images 
                        2                         2 
